Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Gender Development Index value,Gender Development Index Group,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people)","Deaths due to Tuberculosis (per 100,000 people)","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015,HDI,Country
81.2,8.9,26104.0,0.98,1.0,84.0,78.2,8.9,8.9,21095.0,31673.0,34.8,50.8,52.2,53.6,10.3000001907,9.8000001907,0.4,-0.4,63.5,0.4,6.6999998093,2.2,44.0,21.6,31.9,1.5,1.3,,1.0,2.0,,3.0,3.6,,,,1.2,,23.7,41.0,6.2,51.4,58.5,5.5,69.5,12.1,30.1,12.3,14.5,3,,,100.0,68.6,-4.1999998093,10.1,3.9,0.905,5.9,0.712,20.4,0.669,6.7,1.5,36.0,0.843,Portugal
77.1,9.5,66203.0,0.972,2.0,78.7,76.5,10.6,8.7,27257.0,80420.0,22.5,77.4,64.5,41.9,9.1999998093,11.0,7.7,1.9,85.5,0.5,7.8000001907,0.1,33.3,16.4,1.3,2.4,1.8,34.0,6.0,6.0,,5.9,6.8,57.0,81.0,,0.3,,19.8,25.3,2.6,77.1,80.1,,,3.7,11.1,,1.0,,,45,,91.2,44.7000007629,,5.8,0.828,,,,,,,,0.84,United Arab Emirates
75.3,12.0,23394.0,0.988,1.0,78.8,71.6,12.0,12.1,17787.0,29567.0,10.1,95.6,97.9,46.4,9.8999996185,9.3000001907,-0.3,-0.3,71.2,0.5,6.6999998093,1.8,41.3,21.5,26.3,1.3,1.3,,1.0,1.0,,5.3,5.9,,,,0.7,,20.1,30.8,4.9,50.2,54.0,4.6,64.5,7.0,18.2,13.6,5.8,,,168,91.4,72.8,-0.8999999762,7.6,5.2,0.807,3.1,0.808,14.6,0.704,5.0,1.1,30.6,0.836,Hungary
74.3,11.7,22589.0,1.025,2.0,79.0,69.3,12.0,11.6,18824.0,27031.0,18.0,99.3,98.8,54.4,2.0,1.7999999523,-1.3,-1.2,67.4,0.1,1.2999999523,0.4,42.9,22.7,29.5,1.3,1.5,,7.0,5.0,,6.9,7.9,94.0,243.0,,2.7,0.7,19.8,35.8,3.7,54.4,60.4,7.3,68.6,9.8,14.8,12.0,7.6,,,112,100.0,79.2,15.1000003815,10.3,6.7,0.78,3.8,0.803,20.3,0.653,6.7,1.4,35.5,0.83,Latvia
76.5,9.9,20945.0,0.982,1.0,80.2,72.6,9.7,10.0,12875.0,29367.0,37.1,63.5,61.4,48.4,43.4000015259,49.4000015259,1.1,1.0,91.8,3.7,27.7000007629,4.7,30.8,39.4,17.1,2.5,2.3,32.7,2.0,5.0,8.2,11.1,12.5,75.0,154.0,,1.4,0.4,21.4,38.6,2.7,56.9,61.0,0.5,74.7,6.7,19.1,18.6,20.5,4,5.1,90,90.7,69.4,1.7999999523,15.2,10.0,0.782,8.1,0.742,27.4,0.586,10.0,2.1,42.7,0.827,Argentina
77.5,11.2,20291.0,0.997,1.0,80.8,74.2,11.2,11.6,16932.0,23897.0,15.2,92.0,96.0,46.4,4.1999998093,4.0,-0.2,-0.4,59.0,0.2,2.7999999523,0.8,42.8,22.5,28.6,1.4,1.5,23.3,2.0,6.0,,3.6,4.3,57.0,134.0,,1.1,,20.6,30.0,6.4,43.9,52.3,8.7,63.9,16.1,43.8,19.3,10.4,,,208,57.6,69.8,-8.6999998093,8.9,4.5,0.845,4.4,0.763,17.7,0.66,5.7,1.2,32.5,0.827,Croatia
76.7,9.4,37236.0,0.97,2.0,77.8,75.9,9.4,9.4,25717.0,44303.0,15.0,61.6,55.6,39.2,1.3999999762,1.6000000238,5.3,1.8,88.8,0.1,1.0,0.0,30.3,28.2,3.2,2.7,2.1,33.8,1.0,1.0,,5.3,6.2,60.0,75.0,,0.4,,19.4,9.2,3.2,68.3,69.2,1.1,62.4,1.2,5.4,,2.0,5,,60,40.1,93.5,48.0,,6.3,0.818,,,,,,,,0.824,Bahrain
76.4,11.3,15410.0,0.955,2.0,78.6,74.2,10.7,12.0,11757.0,19149.0,17.3,86.9,96.2,42.0,0.6000000238,0.6000000238,0.1,0.1,64.0,0.0,0.400000006,0.1,37.6,27.6,20.2,1.9,1.7,16.8,3.0,12.0,9.4,4.3,4.7,73.0,130.0,,0.6,,19.8,21.1,3.7,40.0,48.9,5.7,73.0,18.2,37.5,,,13,1.8,45,52.3,64.6,-14.1000003815,8.7,5.2,0.823,7.4,0.738,13.6,0.657,4.8,1.2,31.9,0.807,Montenegro
70.3,12.0,23286.0,1.016,1.0,75.9,64.6,12.0,12.1,17868.0,29531.0,14.5,94.6,94.7,56.6,143.5,138.6999969482,-0.4,0.0,74.0,9.2,100.3000030518,19.2,38.7,24.0,19.1,1.3,1.7,,3.0,2.0,,8.2,9.6,,,,11.0,,18.4,43.1,3.7,59.8,63.5,6.7,65.8,5.8,15.0,12.0,6.0,,3.9,140,100.0,73.4,-3.4000000954,9.6,8.8,0.705,2.2,0.798,17.7,0.678,8.2,2.0,41.6,0.804,Russia
74.8,10.8,19428.0,0.99,1.0,78.4,71.3,10.3,11.0,16272.0,22786.0,12.0,86.1,92.2,47.6,19.5,17.6000003815,-0.7,-0.8,54.6,0.9,13.1000003815,3.4,42.1,23.1,25.8,1.3,1.5,15.8,2.0,11.0,12.8,9.7,11.1,79.0,195.0,,5.5,,19.8,24.5,4.5,52.0,55.9,25.4,44.5,6.9,23.1,17.0,30.9,1,,126,98.0,55.8,-3.7999999523,10.8,8.4,0.773,4.6,0.734,19.5,0.641,4.1,1.0,27.5,0.802,Romania
74.5,7.3,76075.0,0.972,2.0,75.9,73.6,7.4,6.9,35164.0,107991.0,1.5,56.8,58.1,48.4,3.9000000954,5.0,3.2,4.8,98.3,0.3,2.9000000954,0.1,31.0,29.5,2.6,2.6,2.2,11.9,3.0,6.0,5.8,7.3,8.6,58.0,98.0,,0.2,,17.7,27.0,2.6,66.7,69.2,1.2,58.6,3.5,17.3,,2.2,,,70,27.3,82.1,74.1999969482,,7.2,0.779,,,,,,,,0.8,Kuwait
71.5,12.0,15629.0,1.021,1.0,77.3,65.7,11.9,12.1,12327.0,19433.0,29.2,87.0,92.2,54.5,9.5,9.0,-0.6,0.0,76.7,0.6,6.5999999046,1.3,39.6,23.0,20.0,1.3,1.6,19.0,3.0,1.0,4.5,3.4,4.6,90.0,261.0,,7.7,0.6,18.1,39.3,3.7,57.0,60.8,9.6,57.2,6.1,12.9,,2.1,1,3.1,126,93.6,62.2,13.6000003815,6.4,5.8,0.746,3.7,0.804,9.7,0.689,3.9,1.0,27.2,0.796,Belarus
77.0,8.1,34402.0,0.927,3.0,79.4,75.3,7.7,8.5,15703.0,43894.0,8.2,59.8,57.1,30.0,4.5,5.1999998093,2.3,8.4,77.6,0.4,3.5,0.1,29.0,26.7,3.4,3.2,2.9,32.8,1.0,1.0,14.1,9.9,11.6,70.0,111.0,,0.6,,20.6,24.3,3.2,64.8,69.1,5.2,57.9,6.3,19.3,,,,,50,24.7,74.2,-2.7000000477,,7.0,0.815,,,,,,,,0.796,Oman
75.8,10.5,14952.0,1.006,1.0,78.1,73.3,10.6,10.3,11801.0,18377.0,19.6,93.0,90.6,62.4,0.3000000119,0.3000000119,0.3,0.3,31.5,0.0,0.200000003,0.0,38.5,29.1,21.3,1.8,1.8,19.7,2.0,5.0,7.7,12.0,13.0,75.0,125.0,,0.0,1.6,19.5,18.1,4.7,58.2,66.3,2.7,78.4,12.3,30.4,,,2,,84,68.3,76.1,-6.6999998093,,7.8,0.791,5.5,0.73,,,,,,0.795,Barbados
77.4,8.6,19148.0,1.017,1.0,80.8,73.7,8.8,8.3,14608.0,24014.0,19.2,55.0,51.6,55.4,3.4000000954,3.5999999046,0.0,0.3,95.3,0.2,2.2000000477,0.5,34.9,33.4,22.5,2.2,2.0,,1.0,4.0,10.7,8.7,10.1,77.0,136.0,,1.7,0.5,22.0,37.4,6.1,60.6,65.3,9.3,69.1,7.3,20.3,20.5,22.5,8,5.3,98,76.5,64.6,21.7999992371,15.4,9.5,0.799,10.4,0.642,26.2,0.586,9.1,2.0,41.6,0.795,Uruguay
74.3,10.8,16261.0,0.984,1.0,77.8,70.9,10.8,11.2,12979.0,19736.0,20.4,93.1,95.5,48.6,7.0999999046,6.3000001907,-0.8,-0.7,73.9,0.3,4.6999998093,1.4,43.5,21.5,30.4,1.2,1.5,,10.0,7.0,8.8,9.3,10.4,,,,2.1,,19.2,38.7,4.6,48.9,54.2,6.9,62.8,9.8,22.2,20.2,8.7,,,410,96.9,56.7,-6.4000000954,10.5,7.8,0.771,5.5,0.735,18.2,0.629,6.9,1.5,36.0,0.794,Bulgaria
69.6,11.7,22093.0,1.006,1.0,74.3,64.8,11.7,11.7,16364.0,28226.0,20.1,99.7,100.0,66.1,17.6000003815,20.1000003815,0.7,1.6,53.2,1.9,11.6999998093,1.2,29.3,40.1,10.1,2.0,2.6,31.8,4.0,1.0,13.1,12.6,14.1,124.0,302.0,,8.6,0.2,17.1,36.2,2.4,67.2,71.2,24.2,56.0,5.6,5.1,,28.6,2,3.4,126,95.9,72.9,53.5999984741,10.1,11.6,0.674,5.9,0.758,12.7,0.712,3.7,0.9,26.3,0.794,Kazakhstan
75.6,10.9,21565.0,,,78.5,72.5,11.5,10.5,18070.0,25209.0,16.7,87.4,87.6,69.4,0.400000006,0.400000006,2.0,1.5,82.9,0.0,0.3000000119,0.0,32.4,29.6,11.7,1.9,1.9,,4.0,8.0,,9.9,12.1,120.0,200.0,,0.6,3.2,22.3,28.2,3.6,63.5,74.1,3.7,83.0,14.4,28.4,,,,,91,84.2,78.0,-32.4000015259,,9.4,0.774,,,,,,,,0.792,Bahamas
74.9,10.1,24620.0,,,77.3,72.6,10.0,10.8,17170.0,32208.0,13.2,75.4,79.1,49.3,30.2999992371,36.0999984741,1.9,1.5,74.7,2.5,21.1000003815,1.8,28.5,35.2,8.4,2.5,2.0,29.0,1.0,6.0,17.2,6.0,7.0,80.0,167.0,1.0,8.0,0.4,19.3,12.0,2.3,61.5,63.3,12.2,60.3,2.9,10.4,1.2,21.1,,6.9,60,19.8,71.1,20.2000007629,,6.7,0.788,,,,,11.3,2.6,46.3,0.789,Malaysia
72.9,12.3,13771.0,,,,,,,,,10.3,,,,0.0,0.0,0.8,0.8,87.1,,,,,,,,,,1.0,17.0,,14.2,16.4,,,,1.2,,,13.8,6.5,,,,,,,,,,,,48.0,,57.2999992371,,,,12.0,0.711,23.0,0.573,,,,0.788,Palau
77.8,9.9,19470.0,0.997,1.0,80.9,74.8,10.3,9.5,14550.0,24365.0,18.3,70.1,66.1,50.5,3.9000000954,4.8000001907,1.8,1.6,66.6,0.4,2.5999999046,0.3,28.7,41.7,11.7,2.6,2.5,21.5,4.0,10.0,19.1,14.6,17.0,81.0,153.0,0.0,5.5,0.7,23.9,16.5,5.9,62.0,65.4,16.7,65.0,5.2,13.7,17.6,29.9,6,10.4,98,37.3,51.2,-3.5999999046,21.0,11.5,0.786,13.6,0.597,38.0,0.493,16.4,3.4,50.7,0.788,Panama
76.2,9.2,20907.0,,,78.6,73.7,,,,,25.7,,,,0.1000000015,0.1000000015,1.2,1.0,23.8,0.0,0.1000000015,0.0,30.9,35.2,10.4,2.3,2.1,,1.0,2.0,,5.8,8.1,108.0,154.0,,3.8,,21.5,,3.8,,,,,,,,,,,91,69.7,65.2,-28.7000007629,,8.4,0.792,,,,,,,,0.786,Antigua and Barbuda
73.3,9.4,23886.0,,,78.2,69.1,,,,,43.8,,,,0.1000000015,0.1000000015,1.8,0.7,53.9,0.0,0.1000000015,0.0,32.6,33.6,9.9,2.2,2.3,,1.0,1.0,,11.7,13.6,92.0,238.0,,0.0,,19.4,10.7,3.1,,,3.6,78.2,,,20.0,10.4,,,98,100.0,58.1,22.6000003815,,9.0,0.746,,,,,9.8,2.6,46.8,0.782,Seychelles
74.6,9.1,17948.0,0.954,2.0,78.2,71.1,8.8,9.5,10540.0,25539.0,11.6,57.0,62.0,46.8,1.2999999523,1.2999999523,0.6,0.4,39.7,0.1,0.8999999762,0.1,35.2,27.2,13.4,1.9,1.5,21.0,3.0,2.0,,11.8,13.5,95.0,194.0,,1.3,0.9,20.2,10.6,2.4,55.8,60.5,8.0,63.5,7.9,17.5,,17.1,,6.1,84,100.0,50.1,45.2999992371,14.3,9.8,0.758,13.2,0.629,19.8,0.628,5.9,1.5,35.8,0.781,Mauritius
70.5,10.9,28049.0,1.004,1.0,74.2,67.1,10.8,11.0,21104.0,35179.0,31.5,70.6,68.4,52.6,1.3999999762,1.3999999762,0.5,0.5,8.4,0.1,0.8999999762,0.1,33.8,29.8,13.5,1.8,1.8,12.8,7.0,4.0,5.3,18.2,20.4,124.0,217.0,,2.0,1.2,18.2,11.8,3.2,60.5,62.9,,,3.8,9.6,52.5,15.6,1,,98,98.7,69.2,10.5,15.0,16.6,0.648,6.6,0.67,21.9,0.665,,,,0.78,Trinidad and Tobago
79.6,8.7,14006.0,0.969,2.0,82.1,77.2,8.7,8.7,9955.0,18052.0,33.3,54.5,53.8,46.8,4.8000001907,5.4000000954,1.6,1.1,76.8,0.4,3.2999999523,0.4,31.4,32.4,12.9,2.2,1.9,32.5,9.0,5.0,5.6,8.5,9.7,61.0,114.0,0.0,0.8,0.3,23.6,11.1,6.8,56.3,61.6,12.7,68.2,8.6,21.1,17.8,20.7,4,1.7,120,55.8,59.8,124.9000015259,18.2,8.2,0.842,12.4,0.599,34.1,0.492,12.8,3.0,48.5,0.776,Costa Rica
75.0,10.8,12202.0,0.969,2.0,77.9,72.2,10.3,11.4,9600.0,14932.0,34.0,82.3,91.6,43.4,8.8999996185,8.3000001907,-0.6,-0.5,55.6,0.5,5.9000000954,1.5,40.6,24.5,25.6,1.7,1.6,12.8,3.0,14.0,6.0,5.9,6.7,79.0,152.0,,1.4,,19.1,21.1,6.4,41.7,51.5,21.3,52.9,19.0,45.2,19.5,28.6,10,0.4,135,46.1,65.3,-3.7999999523,11.1,7.9,0.78,8.1,0.698,17.4,0.6,4.4,1.1,29.1,0.776,Serbia
79.6,11.8,7455.0,0.946,3.0,81.6,77.6,11.5,12.0,5013.0,9874.0,48.9,83.9,86.7,42.6,11.3999996185,11.1999998093,0.3,0.1,77.1,0.6,7.9000000954,1.6,41.2,23.4,20.0,1.6,1.6,33.2,2.0,1.0,7.0,4.0,5.5,72.0,109.0,,0.3,0.3,23.1,67.2,10.6,53.9,55.6,18.6,64.2,3.0,6.5,,,,5.6,,,31.1,233.5,,5.5,0.866,10.9,0.694,,,,,,0.775,Cuba
75.6,8.8,16395.0,0.862,5.0,76.7,74.5,8.5,9.1,5132.0,27499.0,3.1,66.8,70.2,16.2,79.0999984741,88.5,1.3,1.3,73.4,6.9,56.4000015259,4.0,29.5,33.1,7.1,2.0,1.7,53.1,1.0,1.0,6.8,13.4,15.5,64.0,105.0,0.0,3.5,0.1,19.4,8.9,2.8,39.9,44.5,17.9,48.3,10.5,24.1,34.3,40.5,11,3.7,270,26.4,44.1,28.6000003815,31.5,10.6,0.764,37.3,0.441,46.6,0.412,6.6,1.6,37.4,0.774,Iran
75.0,12.2,8856.0,0.97,2.0,78.5,71.3,12.3,12.2,6105.0,11871.0,11.3,96.1,97.4,57.3,4.0,3.9000000954,-1.2,-1.2,53.6,0.3,2.7000000477,0.6,37.5,25.2,20.4,1.6,1.8,54.8,1.0,8.0,11.3,10.6,11.9,64.0,171.0,0.0,6.6,0.4,19.8,42.7,1.6,58.9,67.1,,,12.3,29.8,,59.8,18,15.2,183,89.8,45.2,42.2999992371,12.2,10.3,0.759,2.2,0.777,24.1,0.514,8.2,1.9,40.1,0.769,Georgia
75.5,7.9,18705.0,0.908,4.0,78.7,72.3,7.0,8.8,10648.0,27035.0,14.9,43.5,64.8,30.4,78.6999969482,87.6999969482,1.4,1.7,73.4,6.8,52.5,5.9,29.8,38.4,11.3,2.4,2.1,30.1,3.0,6.0,9.5,11.6,13.5,73.0,142.0,0.0,0.6,,20.8,17.1,4.2,45.1,50.3,19.7,51.9,10.3,16.4,24.8,29.4,6,4.0,112,88.1,53.7,12.1000003815,15.8,11.5,0.756,14.2,0.574,21.8,0.618,8.0,1.9,40.2,0.767,Turkey
74.4,9.4,15129.0,1.028,2.0,78.6,70.4,9.7,9.0,11579.0,18709.0,17.0,72.6,65.0,51.4,31.1000003815,36.7000007629,1.8,1.4,89.0,3.0,20.3999996185,2.0,27.4,42.8,9.5,2.7,2.4,7.1,12.0,11.0,13.4,12.9,14.9,91.0,195.0,2.2,1.8,0.5,20.7,19.4,1.5,59.5,64.7,7.4,71.1,8.0,16.7,19.2,30.3,8,9.2,182,59.4,61.9,-3.0999999046,19.1,11.4,0.741,17.6,0.586,28.4,0.543,16.0,2.8,46.9,0.767,Venezuela
75.0,10.9,10789.0,0.934,3.0,78.4,71.7,10.3,11.4,6067.0,15869.0,4.9,80.2,80.6,30.2,20.7000007629,21.5,0.8,0.5,18.4,1.6,13.6999998093,1.9,32.3,37.2,14.1,2.3,2.1,75.8,1.0,1.0,14.7,8.4,9.8,75.0,201.0,0.0,6.1,0.1,20.4,6.8,2.0,49.3,51.8,30.4,43.4,4.7,20.2,0.5,43.1,3,12.2,84,17.1,30.0,34.9000015259,11.5,8.1,0.778,12.8,0.656,13.7,0.61,6.6,1.8,39.2,0.766,Sri Lanka
74.0,8.4,22436.0,,,,,,,,,13.3,,,,0.1000000015,0.1000000015,1.5,1.2,32.0,,,,,,,,,,1.0,7.0,,8.4,10.5,,,,2.7,,,11.7,2.1,,,,,,,,,,,91,44.7,75.7,-13.6999998093,,,,,,,,,,,0.765,St. Kitts and Nevis
78.0,9.6,10252.0,0.959,2.0,80.6,75.6,9.5,9.8,7365.0,13186.0,20.7,90.2,90.5,40.3,2.9000000954,3.0,-0.3,0.0,57.4,0.2,2.0,0.4,34.3,26.9,18.0,1.9,1.8,38.6,1.0,2.0,23.1,12.5,14.0,50.0,85.0,,0.6,,21.2,11.5,2.9,41.6,50.3,,,17.3,32.7,30.5,58.1,5,2.0,365,77.0,63.3,24.5,13.4,9.9,0.804,11.9,0.63,18.3,0.571,4.3,1.0,29.0,0.764,Albania
79.5,8.6,13312.0,0.893,5.0,81.5,77.9,8.3,8.7,5844.0,20712.0,3.1,53.0,55.4,23.5,5.9000000954,5.3000001907,4.2,6.0,87.8,0.5,4.0,0.5,28.5,35.4,12.0,2.0,1.7,26.6,16.0,21.0,16.5,7.1,8.3,50.0,71.0,,1.6,0.1,22.0,32.0,3.0,43.7,47.0,,,7.1,21.6,,27.8,2,,70,0.0,74.0,32.0,20.4,7.2,0.85,24.1,0.498,30.0,0.517,,,,0.763,Lebanon
77.0,8.6,16383.0,0.951,2.0,79.4,74.6,8.2,8.6,10710.0,22115.0,40.6,56.1,59.0,45.4,127.0,148.1000061035,1.3,1.4,79.2,11.6,83.6999969482,8.2,27.4,41.9,9.8,2.6,2.3,14.4,10.0,3.0,13.6,11.3,13.2,81.0,143.0,0.0,1.7,0.2,22.7,21.0,3.3,59.5,62.2,13.4,62.4,4.3,8.8,20.0,,4,9.0,84,25.2,57.4,10.0,22.4,13.2,0.761,19.7,0.525,34.3,0.506,10.8,2.9,48.2,0.762,Mexico
70.9,11.2,16413.0,0.94,3.0,74.1,67.8,10.3,12.0,11029.0,21845.0,16.9,93.9,97.5,61.9,9.8000001907,10.6999998093,1.1,1.4,54.6,0.9,7.0999999046,0.5,30.9,30.3,7.8,2.0,2.3,12.1,4.0,2.0,18.0,27.9,31.7,86.0,178.0,0.1,0.4,0.2,18.3,34.0,1.2,61.9,65.0,36.8,48.9,4.7,14.3,,56.4,7,1.7,126,81.7,77.0,11.1999998093,13.0,21.7,0.613,8.3,0.663,8.9,0.702,4.8,1.2,31.8,0.759,Azerbaijan
74.7,7.8,14145.0,1.005,1.0,78.5,71.0,8.1,7.5,10672.0,17736.0,10.8,59.1,55.2,56.3,207.8000030518,228.6999969482,1.4,0.9,85.7,15.0,143.6999969482,16.3,31.3,33.3,11.3,2.3,1.8,38.6,1.0,3.0,7.1,14.6,16.4,93.0,194.0,0.6,2.6,0.6,21.3,18.9,3.8,62.3,67.1,14.5,76.6,7.2,16.8,19.6,23.1,8,5.1,120,86.3,59.1,25.5,25.0,14.4,0.721,22.6,0.527,37.8,0.465,15.5,3.5,51.5,0.754,Brazil
73.6,8.6,11502.0,,,76.0,71.1,,,,,25.0,,,,0.1000000015,0.1000000015,0.3,0.4,35.6,0.0,0.1000000015,0.0,27.2,39.9,10.8,2.4,2.2,39.0,3.0,6.0,,10.8,11.8,98.0,186.0,,0.4,,18.8,6.6,2.8,,,,,,,,,,,90,34.0,53.8,-3.5999999046,,8.7,0.752,,,,,,,,0.754,Grenada
76.6,9.0,10091.0,0.923,4.0,79.2,74.1,7.8,10.6,6950.0,13261.0,19.3,69.5,87.5,34.4,3.7999999523,3.5999999046,0.2,-0.1,39.8,0.2,2.7000000477,0.6,41.5,19.0,21.7,1.2,1.3,18.5,8.0,11.0,8.9,5.1,5.4,66.0,130.0,,3.8,,20.2,19.3,6.8,32.2,46.1,,,30.3,66.9,,25.3,5,1.5,365,29.6,65.1,11.5,13.1,6.7,0.813,12.5,0.607,20.2,0.556,5.7,1.3,33.8,0.75,Bosnia and Herzegovina
75.5,9.4,12405.0,0.947,3.0,77.9,73.2,8.9,9.8,9050.0,15790.0,33.3,40.2,55.6,43.9,2.0999999046,2.0999999046,0.3,0.2,57.1,0.1,1.5,0.3,37.5,24.0,17.4,1.6,1.5,23.0,2.0,7.0,4.9,4.8,5.5,71.0,134.0,,2.3,,19.1,26.3,4.1,40.9,55.9,18.0,51.4,26.9,49.4,25.1,22.8,13,3.0,270,52.2,70.4,2.9000000954,16.1,7.6,0.789,10.6,0.602,30.1,0.509,9.3,2.3,44.1,0.748,North Macedonia
75.0,7.8,13533.0,0.854,5.0,77.5,72.7,6.6,8.5,4022.0,22926.0,25.7,34.1,35.7,16.8,39.7000007629,48.2999992371,1.3,1.9,70.7,4.6,26.0,2.4,27.6,43.6,9.1,2.4,2.9,25.7,1.0,5.0,11.7,21.9,25.5,84.0,135.0,0.0,11.0,0.1,21.6,12.1,5.2,39.1,43.7,10.8,58.4,10.5,28.6,22.8,26.9,5,,98,63.6,38.2,27.7999992371,,18.6,0.689,,,,,,,,0.745,Algeria
74.9,11.3,8189.0,0.993,1.0,78.7,71.1,11.3,11.3,5535.0,11258.0,10.7,98.5,98.1,54.9,3.0,3.0,-0.4,0.4,62.7,0.2,2.0999999046,0.3,34.6,26.0,15.3,1.7,1.6,34.6,3.0,3.0,20.8,12.6,14.1,70.0,170.0,,4.7,0.2,19.6,27.0,1.9,53.0,63.3,36.3,46.7,16.3,37.2,40.9,42.4,4,13.6,140,80.0,58.2,-11.6999998093,9.2,10.1,0.759,3.7,0.703,13.9,0.573,4.7,1.2,31.5,0.743,Armenia
71.1,11.3,7361.0,1.0,1.0,76.0,66.2,11.3,11.3,5791.0,9181.0,12.1,94.3,96.0,52.2,44.7999992371,40.9000015259,-0.8,-0.4,69.7,2.5,31.2999992371,6.9,40.3,21.4,21.9,1.1,1.5,19.7,10.0,21.0,3.7,7.7,9.0,111.0,292.0,,13.0,0.9,18.1,35.4,3.6,53.2,59.1,14.8,59.1,9.9,23.1,20.0,18.1,2,1.9,126,95.0,49.3,23.0,7.2,8.7,0.718,3.6,0.774,9.2,0.59,3.3,0.8,24.1,0.743,Ukraine
74.2,10.1,10111.0,0.864,5.0,75.9,72.6,9.7,10.7,3203.0,16694.0,11.6,78.5,82.7,14.2,7.5999999046,9.1000003815,2.2,3.1,83.7,1.0,4.5999999046,0.3,22.5,58.5,6.2,3.9,3.5,22.7,2.0,2.0,7.8,15.4,17.9,94.0,128.0,,0.3,,19.0,25.6,5.2,34.8,40.0,1.8,79.6,12.8,33.4,24.6,9.7,2,12.7,70,42.2,53.4,74.9000015259,16.4,11.9,0.734,16.9,0.583,20.5,0.554,,,,0.741,Jordan
74.8,9.0,11295.0,0.959,2.0,77.5,72.2,8.4,9.5,8939.0,13655.0,22.3,56.2,67.0,65.7,31.3999996185,36.9000015259,1.3,1.3,78.6,3.0,20.5,2.1,27.5,42.7,10.5,2.8,2.5,68.4,2.0,11.0,14.6,13.1,16.9,96.0,154.0,0.7,7.2,0.3,21.3,11.3,3.3,71.5,74.1,,75.9,3.5,9.3,15.3,46.3,34,12.1,90,33.2,40.9,10.3999996185,21.3,14.2,0.724,20.3,0.536,29.5,0.503,10.8,2.3,44.1,0.74,Peru
74.6,7.9,14519.0,1.001,1.0,78.0,71.3,7.7,8.2,12938.0,16145.0,6.1,40.9,45.8,62.9,68.0,68.3000030518,1.0,0.4,50.4,3.8,48.7999992371,7.1,38.0,24.7,14.6,1.6,1.5,12.3,1.0,1.0,16.3,10.5,12.3,105.0,207.0,0.9,11.0,1.1,21.4,3.9,5.6,70.6,71.4,41.9,37.5,1.1,4.7,13.8,55.9,8,1.5,90,81.7,39.3,16.5,20.2,10.4,0.753,16.1,0.538,34.0,0.496,6.5,1.7,37.9,0.74,Thailand
76.1,8.3,10536.0,0.976,1.0,78.9,73.4,8.2,8.4,8278.0,12795.0,41.6,48.2,49.4,49.0,16.1000003815,19.6000003815,1.7,1.6,63.7,1.6,10.3999996185,1.1,26.6,45.1,10.4,2.9,2.6,40.0,16.0,15.0,25.2,18.4,21.6,87.0,164.0,0.0,2.9,0.3,22.9,17.2,4.5,61.4,64.2,25.3,54.3,4.3,10.9,3.8,39.0,3,11.2,84,53.0,48.9,-19.3999996185,20.2,15.1,0.733,15.5,0.562,30.1,0.492,10.5,2.5,45.4,0.739,Ecuador
76.0,7.6,13345.0,0.954,2.0,77.5,74.5,7.2,7.9,10705.0,15830.0,23.6,69.8,79.4,63.6,1376.0,1415.5,0.6,0.5,55.6,83.2,1000.0,131.4,37.0,23.5,13.0,1.5,1.6,27.6,1.0,1.0,9.4,9.2,10.7,72.0,98.0,0.0,2.8,,19.4,19.4,3.1,67.6,70.9,2.5,47.0,4.6,12.1,,,,14.8,128,74.4,50.3,47.5,,8.9,0.784,,,29.5,0.521,9.2,2.1,42.2,0.738,China
