Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Gender Development Index value,Gender Development Index Group,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people)","Deaths due to Tuberculosis (per 100,000 people)","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015,HDI,Country
70.2,10.5,8245.0,,,73.4,67.3,10.9,10.2,4695.0,11676.0,16.0,73.9,66.5,37.0,0.8999999762,0.8999999762,0.3,0.7,53.7,0.1,0.6000000238,0.1,27.6,43.9,8.9,3.0,2.6,39.8,1.0,6.0,7.5,19.1,22.4,139.0,236.0,,4.7,,17.0,4.3,3.0,50.2,54.3,,,7.7,18.2,,38.8,,13.2,84,10.6,46.3,33.4000015259,15.1,12.3,0.677,10.5,0.695,22.6,0.516,8.2,2.1,42.8,0.736,Fiji
69.8,9.8,10449.0,1.026,2.0,74.2,65.6,10.0,9.5,8809.0,12122.0,14.5,89.7,85.8,56.5,3.0,3.5,1.0,1.7,72.0,0.3,2.0,0.1,27.3,41.7,6.0,2.1,2.7,47.1,1.0,2.0,10.8,19.0,22.4,132.0,300.0,,2.2,0.1,18.0,28.4,2.6,58.1,62.5,35.0,46.8,7.1,14.7,1.5,51.4,15,6.8,120,100.0,21.4,13.3999996185,13.0,17.1,0.635,9.4,0.668,12.3,0.616,5.0,1.2,32.0,0.735,Mongolia
75.2,9.3,9791.0,0.986,1.0,78.0,72.5,9.4,9.3,8033.0,11617.0,20.7,48.2,42.0,63.1,0.200000003,0.200000003,1.1,0.8,18.5,0.0,0.1000000015,0.0,31.2,34.1,13.3,2.1,1.9,,1.0,1.0,2.5,12.7,14.3,110.0,168.0,,2.4,,21.1,1.1,3.6,55.6,69.6,,,20.1,47.2,,,4,,91,26.5,52.4,-9.1000003815,15.6,10.1,0.763,9.2,0.614,27.4,0.503,,,,0.735,Saint Lucia
75.8,9.6,8350.0,0.975,2.0,78.2,73.5,9.7,9.6,6628.0,10086.0,16.7,67.1,59.4,57.7,2.7999999523,2.9000000954,0.6,0.4,54.8,0.2,1.8999999762,0.3,29.1,35.0,13.6,2.5,2.1,23.8,3.0,8.0,5.7,13.5,15.7,101.0,166.0,,0.3,1.6,22.2,4.1,2.8,56.0,64.8,18.2,66.5,13.7,32.7,28.8,37.5,3,7.8,56,55.5,43.2,-3.9000000954,15.9,11.9,0.757,5.6,0.64,30.1,0.467,,,,0.73,Jamaica
74.2,7.6,12762.0,1.004,1.0,77.8,70.7,7.6,7.5,10215.0,15389.0,20.9,50.3,59.6,57.9,48.2000007629,53.2000007629,1.4,1.0,76.4,3.7,33.0999984741,3.4,30.0,35.4,10.2,2.3,1.9,42.8,9.0,9.0,12.7,13.6,15.9,90.0,192.0,0.9,1.5,0.5,21.4,14.7,5.4,61.7,68.6,16.3,64.1,10.0,20.5,22.0,47.9,10,9.2,98,23.0,55.9,20.8999996185,23.7,14.4,0.714,17.4,0.52,39.4,0.444,17.3,3.9,53.5,0.727,Colombia
77.9,7.9,10096.0,,,,,,,,,21.9,,,,0.1000000015,0.1000000015,0.2,0.4,69.5,,,,,,,,,,1.0,6.0,,19.6,21.2,,,,2.7,,,15.9,3.8,,,,,,,,,,,84,38.5,67.6,-28.2999992371,,,,,,,,,,,0.726,Dominica
71.3,8.3,16018.0,0.972,2.0,74.6,68.2,8.2,8.5,10501.0,21512.0,25.5,57.7,56.8,40.5,0.5,0.6000000238,0.5,0.9,66.0,0.0,0.400000006,0.0,29.0,40.4,10.4,2.7,2.4,2.8,9.0,15.0,8.8,19.0,21.3,121.0,222.0,1.2,2.1,1.1,18.5,9.1,2.9,50.2,54.5,3.2,72.9,7.8,18.6,,12.9,4,,0,,42.8,82.0,23.3,13.6,0.682,19.0,0.51,37.3,0.481,,,,0.725,Suriname
75.0,7.1,10249.0,0.904,4.0,77.4,72.7,6.7,7.8,4662.0,15967.0,31.3,37.5,49.9,25.1,11.3000001907,12.6999998093,0.8,1.1,66.8,1.0,7.8000001907,0.9,31.2,33.8,11.0,2.0,2.2,8.5,2.0,2.0,10.1,12.1,14.0,73.0,126.0,,2.0,0.1,19.5,12.2,4.0,40.6,47.7,14.8,51.5,14.8,34.5,25.4,21.6,2,4.6,30,68.8,48.5,24.2999992371,21.9,12.2,0.743,34.6,0.421,18.9,0.567,6.4,1.5,35.8,0.725,Tunisia
73.7,7.7,12756.0,0.99,1.0,76.9,70.6,7.9,7.5,9281.0,16256.0,19.1,57.2,55.5,52.3,10.5,12.1000003815,1.5,1.2,79.0,1.1,6.6999998093,0.7,26.1,47.3,10.5,2.8,2.5,4.7,9.0,12.0,7.1,25.7,30.9,121.0,205.0,0.1,3.9,1.0,21.7,14.9,2.9,55.9,65.3,14.5,41.9,14.4,29.8,21.3,41.7,13,7.8,84,11.1,51.9,-7.0,21.6,16.8,0.687,19.9,0.498,28.1,0.527,10.8,2.7,47.1,0.722,Dominican Republic
73.0,8.6,10372.0,,,75.2,71.0,,,7600.0,13095.0,13.0,,,56.3,0.1000000015,0.1000000015,0.2,0.0,50.6,0.0,0.1000000015,0.0,29.8,36.0,10.8,2.2,2.0,,1.0,1.0,,16.6,18.3,130.0,182.0,,1.0,,19.9,5.3,4.4,53.5,66.8,,,20.0,39.6,,8.0,,,91,76.6,51.8,-14.0,,12.7,0.712,,,,,,,,0.722,St. Vin. and Gren.
73.0,11.1,5284.0,0.969,2.0,76.0,70.1,11.0,11.1,3959.0,6602.0,0.0,91.2,91.1,52.8,0.1000000015,0.1000000015,0.6,0.4,23.7,0.0,0.1000000015,0.0,21.3,64.1,10.2,4.2,3.8,52.2,14.0,33.0,8.1,14.4,16.7,102.0,167.0,,2.1,,18.6,5.6,4.3,60.0,63.2,,,5.2,11.7,,,,,0,1.0,45.0,25.7999992371,,13.6,0.704,,,,,6.9,1.7,38.1,0.721,Tonga
71.8,7.3,14303.0,0.95,2.0,74.8,69.0,7.7,7.0,7163.0,21364.0,16.0,65.7,44.2,27.8,6.3000001907,7.4000000954,1.7,0.0,78.6,0.6,4.0999999046,0.3,27.5,45.5,6.9,2.8,2.5,,4.0,7.0,21.0,11.4,13.4,99.0,173.0,,9.7,,18.2,19.0,3.7,42.2,53.2,,,20.6,50.0,,,,,98,43.3,19.0,-13.0,,15.8,0.671,,,,,,,,0.716,Libya
70.1,10.5,7375.0,0.967,2.0,73.1,67.4,10.5,10.5,5360.0,9402.0,13.3,77.9,77.4,56.3,0.400000006,0.5,2.7,2.2,44.0,0.0,0.200000003,0.0,23.5,50.9,5.9,3.4,2.6,14.7,4.0,5.0,19.3,14.2,16.5,132.0,224.0,0.0,1.8,1.5,17.0,8.3,3.9,61.6,69.8,,,11.8,22.0,27.9,23.5,3,,98,64.6,41.6,-22.2999992371,21.8,11.6,0.681,15.9,0.592,37.9,0.403,,,,0.706,Belize
73.7,10.3,5372.0,,,77.0,70.7,,,3444.0,7182.0,6.1,77.8,70.4,23.1,0.200000003,0.200000003,0.6,0.8,19.1,0.0,0.1000000015,0.0,21.2,64.9,9.1,4.4,4.2,51.3,1.0,9.0,,15.0,17.5,93.0,159.0,,3.4,,18.9,4.8,6.5,38.7,41.1,5.4,79.9,5.8,14.1,38.2,30.9,,,28,49.5,25.4,21.0,,13.3,0.716,,,,,7.9,2.2,42.7,0.704,Samoa
77.0,6.2,10383.0,0.937,3.0,78.0,76.0,6.2,6.3,7155.0,13591.0,5.9,34.3,30.9,57.3,0.400000006,0.400000006,1.7,1.8,45.5,0.0,0.200000003,0.0,26.4,40.5,6.9,2.6,2.2,47.8,1.0,1.0,20.3,7.4,8.6,59.0,83.0,,2.3,,19.5,14.2,10.8,59.9,68.0,14.6,67.0,11.8,27.9,56.4,18.8,,13.0,60,99.7,54.5,36.2000007629,23.4,7.1,0.814,40.0,0.337,23.2,0.539,7.1,1.7,38.4,0.701,Maldives
69.4,12.0,5748.0,0.946,3.0,71.9,65.1,11.8,12.3,3891.0,7668.0,16.4,99.9,99.9,48.3,29.8999996185,34.4000015259,1.1,1.5,36.4,3.2,20.0,1.4,26.3,42.7,7.0,2.5,2.5,26.4,1.0,1.0,19.6,33.9,39.1,133.0,238.0,,9.1,0.2,18.3,25.3,3.1,55.6,61.8,,,10.1,19.8,,,,,126,98.1,42.8,-2.7999999523,15.3,24.3,0.575,1.4,0.729,20.1,0.489,,,,0.701,Uzbekistan
71.7,11.9,5026.0,1.01,1.0,75.9,67.6,12.0,11.8,4461.0,5637.0,21.8,95.2,97.3,38.8,4.0999999046,3.7999999523,-0.2,-0.1,45.0,0.2,3.0,0.4,35.6,21.2,13.4,1.2,1.3,36.4,6.0,10.0,6.4,13.6,15.8,101.0,244.0,,7.8,0.6,17.3,29.8,5.3,39.9,42.0,28.8,53.5,5.0,15.6,28.6,32.0,16,1.2,126,72.8,49.8,51.2999992371,10.1,9.0,0.724,7.3,0.672,14.0,0.509,3.8,0.9,26.8,0.699,Moldova
64.5,9.2,14663.0,0.984,1.0,66.9,62.2,9.2,9.5,13278.0,16050.0,9.5,85.1,86.7,73.4,2.2999999523,2.7999999523,1.4,2.0,57.4,0.3,1.5,0.1,24.2,49.7,5.6,3.2,2.9,20.3,2.0,3.0,31.4,34.8,43.6,262.0,346.0,0.4,28.0,22.2,17.1,3.4,3.2,63.0,77.4,26.4,56.1,18.6,29.4,,12.9,9,26.3,84,100.0,27.5,40.7999992371,36.2,20.9,0.542,32.1,0.447,55.5,0.335,22.9,5.8,60.5,0.698,Botswana
64.9,8.1,19044.0,0.923,4.0,65.7,64.1,7.3,9.0,15838.0,22177.0,16.0,62.3,45.9,39.9,1.7000000477,2.2999999523,2.2,2.2,87.2,0.2,1.0,0.1,21.4,64.3,8.8,4.4,4.0,6.0,23.0,39.0,17.5,36.1,50.8,246.0,245.0,67.4,55.0,3.8,18.3,2.9,2.4,38.8,48.8,,,20.5,36.3,,31.3,13,17.7,98,38.8,23.5,63.2999992371,23.8,27.6,0.501,23.5,0.473,20.4,0.631,8.4,2.1,42.2,0.697,Gabon
73.0,8.1,8182.0,0.966,2.0,75.2,70.9,8.1,8.2,6138.0,10165.0,16.8,46.2,47.0,58.1,6.5999999046,7.8000001907,1.8,1.3,59.7,0.7,4.1999998093,0.4,24.9,47.2,9.4,3.2,2.6,24.4,2.0,10.0,10.9,17.5,20.5,126.0,166.0,0.0,2.9,0.4,21.0,12.3,4.5,68.0,71.5,22.8,58.2,4.9,12.3,12.3,38.1,28,6.0,63,22.2,44.4,15.0,23.5,18.3,0.666,14.0,0.527,38.3,0.41,14.7,3.5,51.7,0.693,Paraguay
71.3,7.1,10064.0,0.884,5.0,73.6,69.2,6.4,7.9,4750.0,15267.0,2.2,54.5,68.2,22.8,91.5,117.0999984741,1.8,2.2,43.1,12.1,56.4000015259,4.8,24.7,53.8,8.5,3.2,3.4,39.7,4.0,7.0,22.3,20.3,24.0,113.0,189.0,,0.3,0.1,17.3,28.3,2.2,43.5,49.4,28.0,47.9,12.1,35.5,27.9,26.4,7,48.2,90,32.7,35.9,22.6000003815,28.2,13.4,0.684,35.0,0.39,36.3,0.444,,,,0.691,Egypt
65.7,9.9,14026.0,,,70.0,61.6,,,9359.0,18856.0,25.8,,,47.3,5.4000000954,6.1999998093,1.1,1.3,50.0,0.5,3.5999999046,0.2,26.4,41.7,6.1,2.8,2.3,10.9,1.0,1.0,18.9,43.7,51.4,153.0,297.0,,3.4,,17.0,23.9,1.3,55.8,62.0,,,10.0,19.5,,,,,,,15.0,130.1000061035,,26.0,0.521,,,,,,,,0.691,Turkmenistan
69.1,7.9,10053.0,0.926,3.0,71.2,67.0,7.4,8.5,6668.0,13391.0,17.1,42.9,51.7,50.9,257.6000061035,295.5,1.3,1.3,53.7,24.9,172.8999938965,13.3,28.4,41.2,7.7,2.5,2.5,41.5,6.0,23.0,36.4,22.8,27.2,147.0,205.0,9.8,41.0,0.5,16.5,2.0,1.1,63.4,67.4,34.3,44.8,5.8,19.3,24.1,33.0,7,38.7,90,8.1,22.0,50.7999992371,18.2,16.5,0.63,20.8,0.492,17.3,0.576,6.6,1.8,39.5,0.689,Indonesia
73.1,8.9,5256.0,0.867,5.0,75.1,71.1,8.6,9.3,1766.0,8651.0,,56.3,61.2,17.8,4.6999998093,6.8000001907,2.1,2.8,75.3,0.7,2.7000000477,0.1,19.3,70.8,5.2,5.0,4.3,38.6,1.0,1.0,7.4,18.0,21.1,98.0,143.0,,0.2,,18.5,8.4,,32.4,43.7,10.5,61.1,25.9,39.8,31.0,25.6,6,2.6,70,8.0,57.4,19.6000003815,15.1,13.7,0.705,16.5,0.547,15.0,0.509,5.5,1.4,34.5,0.684,West Bank and Gaza
75.9,8.0,5335.0,1.01,1.0,80.6,71.2,7.9,8.2,4834.0,5846.0,24.3,64.0,76.7,73.8,93.4000015259,105.1999969482,1.0,1.1,33.6,7.7,65.5999984741,6.3,30.4,32.9,9.6,1.9,2.0,24.3,5.0,3.0,19.4,17.3,21.7,68.0,186.0,0.2,18.0,0.5,22.4,11.9,3.8,76.7,78.3,46.8,32.0,2.1,5.3,9.3,62.6,16,14.6,180,34.5,52.7,4.3000001907,17.8,14.2,0.738,17.6,0.508,21.4,0.472,6.8,1.6,37.6,0.683,Vietnam
68.3,9.3,8395.0,1.001,1.0,71.9,65.0,9.5,9.2,6845.0,9917.0,27.1,72.8,70.3,50.5,100.6999969482,123.5999984741,2.0,1.6,44.4,11.3,63.9000015259,4.6,24.2,50.3,7.2,3.7,3.0,34.0,14.0,12.0,30.3,22.2,28.0,144.0,272.0,0.1,10.0,0.1,16.8,11.5,1.6,60.4,64.7,30.4,53.6,6.7,15.7,24.8,38.4,11,32.0,60,28.5,40.7,32.7000007629,18.2,16.2,0.623,11.6,0.563,26.8,0.49,8.4,2.2,43.0,0.682,Philippines
73.3,6.5,7732.0,0.958,2.0,77.7,68.6,6.2,6.9,5386.0,10385.0,32.1,39.4,44.8,49.1,6.0999999046,6.4000000954,0.5,0.3,66.7,0.5,4.0,0.5,26.7,41.7,12.6,2.6,2.0,47.0,4.0,6.0,14.0,14.4,16.8,105.0,265.0,0.0,1.9,0.5,21.5,16.0,4.5,58.7,62.8,19.6,60.1,6.4,13.0,5.7,37.6,19,9.4,84,18.1,26.9,17.2999992371,22.0,13.7,0.707,26.6,0.429,25.7,0.488,8.4,2.0,41.8,0.68,El Salvador
68.7,8.2,6155.0,0.934,3.0,71.3,66.3,7.6,8.8,4695.0,7610.0,51.8,49.6,58.7,63.9,10.6999998093,13.1999998093,1.8,1.6,68.5,1.2,6.5999999046,0.7,24.1,53.1,10.6,3.8,3.0,64.3,2.0,5.0,18.1,30.6,38.4,156.0,219.0,0.1,3.1,0.3,21.1,4.7,4.6,70.5,73.1,,,3.6,7.1,,54.3,26,12.7,90,100.0,45.1,30.3999996185,28.7,29.0,0.532,20.8,0.52,36.4,0.396,14.7,3.0,48.4,0.674,Bolivia
57.7,10.3,12087.0,0.962,2.0,59.5,55.5,10.2,10.5,8795.0,15489.0,41.2,73.7,76.2,46.2,54.5,60.0,1.5,1.1,64.8,5.4,35.7999992371,2.7,25.7,44.5,7.7,2.8,2.4,8.3,27.0,30.0,23.9,33.6,40.5,419.0,464.0,2.2,44.0,19.2,16.1,7.8,4.2,39.7,53.0,4.6,71.9,25.1,50.0,31.3,9.3,,16.6,120,92.6,51.9,62.7000007629,32.0,25.7,0.43,13.8,0.608,56.4,0.316,27.9,7.1,63.4,0.666,South Africa
70.8,10.8,3097.0,0.967,2.0,74.8,66.8,10.9,10.7,2123.0,4090.0,19.2,100.0,99.9,49.4,5.9000000954,7.0999999046,0.6,1.7,35.7,0.8,3.7999999523,0.3,25.1,48.8,6.6,2.5,3.1,41.1,4.0,4.0,12.9,19.0,21.3,111.0,251.0,0.0,11.0,0.2,17.7,19.7,3.6,57.7,62.9,31.7,48.1,8.2,14.6,21.2,41.6,26,15.4,126,100.0,30.2,34.2999992371,12.1,13.6,0.675,5.0,0.685,17.7,0.427,3.7,1.0,26.8,0.664,Kyrgyzstan
69.6,6.6,11608.0,0.804,5.0,71.8,67.4,5.4,7.8,3552.0,19467.0,26.5,35.8,55.5,15.1,36.4000015259,54.0999984741,2.7,3.3,69.5,5.7,20.3999996185,1.1,19.3,73.2,5.5,4.7,4.6,19.6,23.0,43.0,22.6,26.5,32.0,132.0,198.0,,2.2,,17.5,6.1,3.3,35.3,42.4,,,16.9,35.1,,,5,29.7,72,56.0,17.2,24.8999996185,22.0,19.3,0.616,30.6,0.347,16.1,0.602,,,,0.649,Iraq
73.5,4.8,6049.0,,,75.2,71.6,,,4030.0,8123.0,20.8,,,53.2,0.5,0.6000000238,1.6,1.2,65.5,0.1,0.3000000119,0.0,24.5,45.1,7.0,3.2,2.4,59.6,1.0,7.0,,20.7,24.5,97.0,137.0,0.0,5.3,1.0,18.6,3.1,3.6,60.9,68.3,,,10.8,17.5,,,6,48.7,60,55.7,43.0,66.6999969482,19.9,13.4,0.713,18.2,0.436,28.0,0.446,10.7,2.7,47.2,0.648,Cabo Verde
74.3,5.0,7195.0,0.826,5.0,75.3,73.3,3.8,6.4,3388.0,11091.0,15.7,25.7,33.2,25.3,34.4000015259,39.7999992371,1.0,1.4,60.2,3.4,22.8999996185,2.1,28.0,40.9,9.3,2.5,2.6,27.8,1.0,1.0,14.9,23.7,27.6,87.0,106.0,,7.9,0.1,19.1,6.2,2.0,44.5,49.2,39.2,39.4,9.6,19.3,,50.7,8,13.1,98,39.8,57.1,25.5,28.3,16.0,0.702,45.8,0.273,23.0,0.497,7.4,1.9,40.7,0.647,Morocco
75.2,6.5,4747.0,0.961,2.0,78.2,72.2,6.8,6.4,3150.0,6389.0,41.3,45.7,44.1,49.1,6.0999999046,7.0,1.4,1.2,58.8,0.6,3.9000000954,0.3,25.2,46.3,7.8,2.8,2.3,31.7,1.0,1.0,23.0,18.8,22.1,106.0,194.0,0.1,3.4,0.3,22.3,9.0,5.1,60.4,64.2,32.2,51.3,6.0,9.7,,47.1,15,20.2,84,23.7,19.7,70.5999984741,25.4,14.6,0.725,29.5,0.382,32.1,0.396,10.9,2.7,47.1,0.645,Nicaragua
72.1,6.3,7063.0,0.959,2.0,75.6,68.5,6.3,6.3,5132.0,9081.0,13.9,37.4,36.2,41.3,16.2999992371,21.3999996185,2.4,2.1,51.6,2.1,9.6000003815,0.8,21.2,62.6,8.3,4.2,3.3,53.2,11.0,33.0,46.5,24.3,29.1,129.0,236.0,0.0,1.6,0.6,21.3,9.3,2.3,59.8,61.5,32.7,50.2,2.7,6.2,29.8,44.5,26,14.4,84,14.1,27.1,-11.5,29.1,17.0,0.665,36.2,0.324,34.1,0.424,12.1,3.0,48.7,0.64,Guatemala
65.1,6.7,9770.0,0.986,1.0,67.5,62.5,6.9,6.5,7971.0,11667.0,37.7,38.1,39.0,55.7,2.5,3.2999999523,1.3,2.3,46.7,0.3,1.5,0.1,21.2,61.4,5.9,3.8,3.6,48.5,8.0,17.0,23.1,32.8,45.4,249.0,325.0,0.1,63.0,13.3,17.3,3.7,5.4,44.2,59.3,31.4,54.2,25.5,49.6,32.0,7.8,,31.2,84,98.4,22.3,14.1000003815,33.4,21.7,0.543,25.0,0.41,53.6,0.321,20.3,5.8,61.0,0.64,Namibia
66.5,8.4,6884.0,0.943,3.0,68.9,64.2,8.5,8.4,4346.0,9397.0,30.4,68.1,53.2,41.8,0.8000000119,0.8000000119,0.0,0.4,28.6,0.1,0.5,0.0,24.7,43.5,7.6,2.9,2.6,23.3,2.0,1.0,12.0,32.0,39.4,173.0,250.0,23.6,21.0,1.5,16.0,2.1,3.1,52.9,59.5,,,11.2,25.1,,,18,,91,100.0,38.2,-5.8000001907,18.5,20.7,0.567,10.5,0.508,24.4,0.483,,,,0.638,Guyana
69.3,9.7,3291.0,,,70.3,68.2,,,,,0.0,,,,0.1000000015,0.1000000015,-0.2,0.2,22.4,0.0,0.1000000015,0.0,21.5,55.3,7.1,4.1,3.3,60.0,2.0,9.0,,28.6,34.7,150.0,178.0,,16.0,,17.3,1.8,12.4,,,,,,,,,,,,,31.5,-100.0,,19.8,0.608,,,,,9.6,2.1,42.5,0.638,Micronesia
69.6,10.4,2601.0,0.93,3.0,73.4,66.3,9.6,11.2,2100.0,3088.0,14.7,98.1,88.2,59.4,8.5,11.1000003815,1.9,2.2,26.8,1.2,5.3000001907,0.3,22.5,56.0,4.8,3.7,3.6,34.3,2.0,2.0,26.8,38.5,44.8,118.0,207.0,0.0,3.3,0.3,18.3,19.2,2.0,61.0,68.5,,,10.9,16.8,,47.1,10,21.6,140,80.2,19.0,26.6000003815,14.9,23.2,0.586,6.5,0.615,15.0,0.418,4.5,1.2,30.8,0.627,Tajikistan
73.3,6.2,4466.0,0.942,3.0,75.9,70.9,6.2,6.1,2680.0,6254.0,25.8,33.4,31.1,47.2,8.1000003815,9.6999998093,1.9,1.5,54.7,0.8,5.0999999046,0.4,23.4,50.1,7.7,3.6,2.5,31.2,14.0,12.0,22.7,17.4,20.4,122.0,174.0,0.1,1.0,0.4,22.1,3.7,4.4,63.1,65.6,35.8,45.4,3.9,7.1,41.4,53.3,15,28.2,84,8.4,20.4,-23.3999996185,28.5,19.6,0.66,24.4,0.391,41.5,0.336,15.8,3.4,50.6,0.625,Honduras
68.3,6.3,5663.0,0.819,5.0,69.9,66.9,4.8,8.2,2184.0,8897.0,12.2,35.3,61.4,26.8,1311.0999755859,1527.6999511719,1.7,1.3,32.7,123.7,860.0,73.6,26.6,43.9,8.6,3.1,2.5,46.4,10.0,17.0,38.7,37.9,47.7,145.0,217.0,4.1,17.0,,17.7,7.0,1.4,51.9,53.7,49.7,28.7,3.5,9.7,27.2,80.8,12,52.9,84,24.1,26.0,26.3999996185,26.5,24.0,0.565,39.4,0.324,16.1,0.512,5.3,1.5,35.2,0.624,India
69.9,3.1,7081.0,0.9,5.0,70.1,69.6,2.1,4.2,5657.0,8308.0,8.3,5.8,13.4,58.7,0.8000000119,0.8999999762,2.9,1.5,38.6,0.1,0.5,0.0,26.7,39.5,7.4,3.1,2.1,51.4,1.0,3.0,33.6,27.2,32.9,216.0,210.0,0.0,9.5,,20.2,2.6,2.6,64.7,66.4,56.3,32.7,2.6,9.2,,53.1,3,10.9,56,3.2,39.8,58.4000015259,28.4,20.7,0.608,44.8,0.25,19.6,0.517,6.8,1.8,38.8,0.607,Bhutan
68.5,4.4,5371.0,0.858,5.0,70.4,66.8,3.6,5.3,3124.0,7549.0,38.5,,,26.8,1.2000000477,1.6000000238,3.1,2.3,32.8,0.2,0.6000000238,0.1,18.5,81.5,10.7,7.0,5.9,62.3,19.0,26.0,50.2,44.7,52.6,128.0,174.0,16.2,94.0,,16.9,0.7,1.3,39.3,41.3,50.6,39.8,5.0,15.7,,69.6,4,77.7,84,100.0,13.4,167.8999938965,29.9,24.4,0.564,47.6,0.259,17.8,0.495,4.6,1.2,31.6,0.605,Timor-Leste
72.1,6.8,2805.0,,,74.3,70.2,,,2139.0,3453.0,0.0,,,61.6,0.3000000119,0.400000006,2.5,2.3,26.1,0.0,0.200000003,0.0,22.2,61.6,7.1,4.1,3.4,72.6,25.0,47.0,28.5,23.1,27.5,108.0,156.0,3.7,7.9,,18.0,1.2,4.5,68.0,71.0,,,4.3,8.8,,70.0,15,,84,3.5,22.4,-7.9000000954,17.1,15.4,0.678,17.5,0.434,18.5,0.41,6.6,1.6,37.2,0.597,Vanuatu
62.9,6.3,5503.0,0.932,3.0,64.4,61.4,5.5,6.7,4731.0,6274.0,11.5,45.0,50.0,67.1,4.5999999046,6.8000001907,2.4,2.6,65.4,0.8,2.5,0.2,18.7,79.4,6.8,5.1,5.0,32.9,5.0,20.0,21.2,33.2,45.0,247.0,286.0,103.8,46.0,,17.9,1.0,4.2,64.8,69.8,,,7.2,12.2,,75.1,23,46.3,105,22.1,7.6,23.5,24.6,31.1,0.455,21.5,0.408,21.2,0.477,12.8,3.1,48.9,0.592,Congo
57.9,5.5,21517.0,,,59.4,56.6,4.0,7.3,17462.0,25375.0,19.7,,,71.3,0.8000000119,1.2000000477,3.3,3.0,39.9,0.1,0.5,0.0,20.5,67.9,5.0,5.6,5.0,7.4,35.0,56.0,26.2,68.2,94.1,286.0,326.0,69.3,6.6,4.9,16.8,3.0,2.9,74.3,82.0,,,9.4,15.3,,,28,20.4,84,,21.3,16.2999992371,,38.4,0.359,,,,,,,,0.592,Equatorial Guinea
66.2,7.8,2475.0,,,69.5,63.0,,,,,8.7,,,,0.1000000015,0.1000000015,1.8,1.8,44.3,0.0,0.1000000015,0.0,22.4,57.0,6.0,4.0,3.8,69.0,17.0,9.0,,43.6,55.9,159.0,240.0,,49.0,,16.8,3.8,8.3,,,22.1,61.8,,,,53.3,,,84,,13.0,258.299987793,32.0,26.1,0.526,21.4,0.464,48.4,0.25,7.2,1.6,37.6,0.588,Kiribati
66.6,5.2,5049.0,0.924,4.0,68.0,65.2,4.5,5.6,4408.0,5696.0,25.0,30.4,42.8,77.7,6.8000001907,8.5,1.5,1.7,38.6,0.8,4.1999998093,0.3,21.9,56.6,6.2,3.9,3.1,40.4,6.0,13.0,43.8,50.7,66.7,176.0,217.0,9.5,55.0,,16.6,1.8,0.9,76.1,77.4,71.3,20.2,1.6,4.0,,83.9,10,84.1,105,5.6,18.2,-15.1999998093,26.9,26.2,0.529,34.1,0.313,20.3,0.472,6.3,1.7,37.9,0.586,Laos
72.0,5.2,3341.0,0.927,3.0,73.3,70.7,5.0,5.6,2379.0,4285.0,20.0,42.0,44.3,43.1,161.0,186.5,1.7,1.2,34.3,15.3,105.5999984741,8.0,25.6,44.9,7.6,2.9,2.2,55.3,3.0,11.0,36.1,30.7,37.6,107.0,152.0,13.9,51.0,0.1,18.7,3.6,0.8,59.4,62.2,47.5,35.3,4.4,11.6,40.3,57.8,4,86.1,112,39.5,14.4,85.5,28.6,20.1,0.639,37.3,0.287,28.3,0.38,4.7,1.3,32.1,0.579,Bangladesh
